city,latitude,longitude,forecast_time,temperature,humidity,precipitation,precipitation_probability,pressure,cloud_cover,wind_speed,loaded_at
Dublin,53.3498,-6.2603,2026-05-21T00:00,14.7,75,0.1,43,1017.9,100,9.0,2026-05-21 01:57:33.427480
Dublin,53.3498,-6.2603,2026-05-21T01:00,13.6,92,0.5,61,1017.6,100,8.3,2026-05-21 01:57:33.427487
Dublin,53.3498,-6.2603,2026-05-21T02:00,13.8,93,1.4,69,1017.3,100,5.0,2026-05-21 01:57:33.427489
Dublin,53.3498,-6.2603,2026-05-21T03:00,13.7,93,0.2,71,1017.0,100,3.2,2026-05-21 01:57:33.427491
Dublin,53.3498,-6.2603,2026-05-21T04:00,14.6,90,0.0,67,1017.0,100,12.2,2026-05-21 01:57:33.427492
Dublin,53.3498,-6.2603,2026-05-21T05:00,14.8,88,0.1,51,1017.5,95,18.0,2026-05-21 01:57:33.427494
Dublin,53.3498,-6.2603,2026-05-21T06:00,14.8,88,0.0,28,1017.9,100,19.8,2026-05-21 01:57:33.427495
Dublin,53.3498,-6.2603,2026-05-21T07:00,14.9,87,0.0,12,1018.4,100,15.5,2026-05-21 01:57:33.427497
Dublin,53.3498,-6.2603,2026-05-21T08:00,15.4,83,0.0,8,1018.7,100,16.2,2026-05-21 01:57:33.427498
Dublin,53.3498,-6.2603,2026-05-21T09:00,15.6,81,0.0,11,1019.3,100,17.3,2026-05-21 01:57:33.427499
Dublin,53.3498,-6.2603,2026-05-21T10:00,16.5,78,0.0,14,1019.5,100,15.8,2026-05-21 01:57:33.427501
Dublin,53.3498,-6.2603,2026-05-21T11:00,17.3,74,0.0,16,1019.7,100,17.3,2026-05-21 01:57:33.427502
Dublin,53.3498,-6.2603,2026-05-21T12:00,17.4,74,0.0,19,1020.0,100,17.6,2026-05-21 01:57:33.427503
Dublin,53.3498,-6.2603,2026-05-21T13:00,18.3,70,0.0,25,1020.2,100,16.6,2026-05-21 01:57:33.427505
Dublin,53.3498,-6.2603,2026-05-21T14:00,18.3,72,0.0,39,1020.4,100,14.0,2026-05-21 01:57:33.427510
Dublin,53.3498,-6.2603,2026-05-21T15:00,18.4,72,0.0,56,1020.5,100,13.3,2026-05-21 01:57:33.427511
Dublin,53.3498,-6.2603,2026-05-21T16:00,18.4,68,0.1,65,1020.6,100,13.3,2026-05-21 01:57:33.427513
Dublin,53.3498,-6.2603,2026-05-21T17:00,18.7,60,0.1,60,1020.2,100,11.2,2026-05-21 01:57:33.427514
Dublin,53.3498,-6.2603,2026-05-21T18:00,18.2,62,0.1,48,1019.8,100,8.3,2026-05-21 01:57:33.427515
Dublin,53.3498,-6.2603,2026-05-21T19:00,18.0,66,0.0,37,1019.5,99,12.6,2026-05-21 01:57:33.427517
Dublin,53.3498,-6.2603,2026-05-21T20:00,17.7,62,0.0,32,1019.1,0,16.9,2026-05-21 01:57:33.427518
Dublin,53.3498,-6.2603,2026-05-21T21:00,16.5,63,0.0,28,1019.3,16,14.4,2026-05-21 01:57:33.427519
Dublin,53.3498,-6.2603,2026-05-21T22:00,16.3,63,0.0,24,1019.2,100,12.6,2026-05-21 01:57:33.427520
Dublin,53.3498,-6.2603,2026-05-21T23:00,16.3,62,0.0,19,1019.2,100,14.8,2026-05-21 01:57:33.427522
Cork,51.8985,-8.4756,2026-05-21T00:00,13.5,98,1.6,100,1017.5,100,18.0,2026-05-21 01:57:33.577678
Cork,51.8985,-8.4756,2026-05-21T01:00,13.5,98,0.2,98,1017.6,100,14.4,2026-05-21 01:57:33.577686
Cork,51.8985,-8.4756,2026-05-21T02:00,13.4,99,1.3,79,1017.7,100,13.0,2026-05-21 01:57:33.577689
Cork,51.8985,-8.4756,2026-05-21T03:00,13.4,99,0.0,52,1017.9,100,15.1,2026-05-21 01:57:33.577699
Cork,51.8985,-8.4756,2026-05-21T04:00,13.3,99,0.1,31,1018.0,100,14.4,2026-05-21 01:57:33.577701
Cork,51.8985,-8.4756,2026-05-21T05:00,13.3,98,0.2,21,1018.5,100,14.8,2026-05-21 01:57:33.577703
Cork,51.8985,-8.4756,2026-05-21T06:00,13.2,99,0.1,16,1018.7,100,15.8,2026-05-21 01:57:33.577705
Cork,51.8985,-8.4756,2026-05-21T07:00,13.3,98,0.2,16,1019.2,100,15.8,2026-05-21 01:57:33.577707
Cork,51.8985,-8.4756,2026-05-21T08:00,13.4,98,0.2,21,1019.6,100,13.3,2026-05-21 01:57:33.577709
Cork,51.8985,-8.4756,2026-05-21T09:00,13.4,98,0.5,30,1019.9,100,13.7,2026-05-21 01:57:33.577712
Cork,51.8985,-8.4756,2026-05-21T10:00,13.4,99,0.3,43,1019.9,100,14.4,2026-05-21 01:57:33.577714
Cork,51.8985,-8.4756,2026-05-21T11:00,13.6,99,0.1,63,1019.8,100,13.7,2026-05-21 01:57:33.577716
Cork,51.8985,-8.4756,2026-05-21T12:00,14.2,97,0.4,87,1019.8,100,13.7,2026-05-21 01:57:33.577719
Cork,51.8985,-8.4756,2026-05-21T13:00,14.5,96,0.4,100,1020.2,100,14.8,2026-05-21 01:57:33.577721
Cork,51.8985,-8.4756,2026-05-21T14:00,14.5,94,0.2,96,1020.2,100,15.5,2026-05-21 01:57:33.577723
Cork,51.8985,-8.4756,2026-05-21T15:00,15.5,86,0.1,83,1019.8,100,16.9,2026-05-21 01:57:33.577725
Cork,51.8985,-8.4756,2026-05-21T16:00,15.7,84,0.2,67,1019.3,100,16.6,2026-05-21 01:57:33.577727
Cork,51.8985,-8.4756,2026-05-21T17:00,16.5,73,0.0,47,1018.6,2,19.4,2026-05-21 01:57:33.577729
Cork,51.8985,-8.4756,2026-05-21T18:00,16.0,74,0.0,25,1018.1,75,20.9,2026-05-21 01:57:33.577731
